domain_similarity,url_length,http_protocol,num_dot,num_slash,num_double_slash,num_hyphen,num_underscore,num_equal,num_paranthesis,num_curly_bracket,num_square_bracket,num_less_and_greater,num_tilde,num_asterisk,num_plus,url_inc_at,url_inc_ip,response_history,redirect,num_a_href,num_input,num_button,num_link_href,num_iframe,class
0.85,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0
0.83,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,97,0,3,78,0,0
0.89,42,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,52,2,2,75,4,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0
0.83,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,390,3,2,13,0,1
0.87,39,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.71,54,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,2,0,4,0,1
1.0,31,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,6,1,1,1,0,0
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,6,0,0
0.88,27,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,60,0,7,10,8,0
0.31,55,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,25,0,4,2,1,3,1,1
0.77,37,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2,1,0,1,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,130,3,9,17,9,0
0.73,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,48,1,1,9,5,1
0.52,54,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.64,55,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,1,2,24,0,1
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,470,3,3,107,1,0
0.85,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,2,6,0,1
0.29,77,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,136,2,7,140,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,1,0,9,0,0
0.73,42,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,1,2,79,1,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.86,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2429,0,0,7,4,0
0.74,36,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,1
0.52,77,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,22,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,57,0,0,6,0,0
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,213,12,1,9,5,0
0.76,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.74,45,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,0,0,1
1.0,23,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,101,1,1,37,5,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,321,3,10,21,4,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,32,0,1,19,0,0
0.87,34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,3,0,1
0.63,37,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,2,5,0,1
0.57,57,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.76,47,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,19,1,0,5,0,1
0.77,43,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,1,10,0,1
0.26,100,1,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1
0.75,30,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13,0,35,1,0,8,0,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,76,2,18,10,4,0
0.9,51,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,0,1,0,1
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0
