domain_similarty,url_length,http_protocol,no_dots,no_slash,no_double_slash,no_hyphen,no_underscore,no_equals,no_parantheses,no_curly_brakets,no_square_brakets,no_greater_and_smaller,no_tilde,no_asterick,no_plus,have_at_symbol,url_inc_ip,response_history,redirect,no_a_href_links,no_inputs,no_buttons,no_link_href,no_iframe,result
0.58,74,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,6,0,0,0,0,1
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,167,0,36,44,6,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,61,0,2,7,3,0
0.55,50,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,7,0,1
0.34,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,242,4,1,18,2,0
0.67,28,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
1.0,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0.48,57,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,423,2,9,16,4,1
0.4,71,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.55,58,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.81,34,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,109,2,2,14,3,0
0.53,55,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,25,0,0,1,2,3,0,1
0.75,44,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,89,0,0,7,1,0
0.82,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.89,72,1,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,13,0,1,0,0,3,0,0
0.85,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,35,0,7,11,3,0
0.6,63,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,2,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,306,2,2,5,7,0
0.82,39,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,18,1,0,5,0,1
0.85,41,1,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,7,0,917,3,2,72,5,0
1.0,30,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,52,2,8,21,4,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,216,2,2,7,5,0
0.71,47,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,51,0,1,7,4,1
0.74,51,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.6,52,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,2,0,1
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,1,4,21,0,0
0.89,29,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,76,1,1,8,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,139,4,9,25,36,0
0.6,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,0,1
0.9,48,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,44,1,8,54,5,0
0.47,52,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.83,26,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,1,2,84,0,0
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,46,3,0,6,2,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,49,0,7,35,1,0
0.67,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,1
0.67,32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,0,0,0,1
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,97,1,1,6,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,28,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,0,429,2,2,20,2,0
0.34,54,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,2,24,0,1
0.86,39,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,136,2,2,13,4,0
1.0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,44,1,2,43,2,0
0.59,43,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,16,1,0,5,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,205,0,4,20,5,0
0.15,49,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,1,1,0,1
1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,132,4,0,19,0,0
0.89,55,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,20,1,16,1,0,5,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,188,1,4,85,25,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,52,0,2,44,6,0
0.73,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,2,0,1
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
1.0,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,14,6,1,0
0.45,34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,1,1,3,0,1
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,38,0,1,19,2,0
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,83,1,1,10,1,0
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,0,1,39,1,0
0.43,73,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,20,1,6,0,0,1,0,1
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,64,0,5,12,1,0
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,0
1.0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,1,0,0
0.43,25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,23,2,4,16,0,1
0.52,51,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.87,35,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,1
1.0,29,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,110,0,0,3,0,0
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,165,2,9,21,3,0
0.87,40,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,2,4,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,27,1,2,5,3,0
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,41,2,7,4,1,0
0.74,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,1,1
1.0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.93,38,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,61,0,0,40,2,0
0.86,37,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,131,2,0,24,0,1
0.3,68,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,128,1,2,9,16,0
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,32,3,0
0.81,34,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.91,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,63,1,1,23,2,0
0.39,30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,107,2,5,14,2,0
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,194,0,0,3,3,0
0.68,47,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
0.44,43,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,1,25,0,9,2,0,4,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,57,0,1,7,0,0
0.47,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,43,1,1,5,0,1
0.7,25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
0.75,65,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
0.68,26,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,469,0,1,5,0,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,190,2,2,26,0,0
0.83,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,5,0,1
0.56,41,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16,1,0,5,0,1
0.88,35,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,8,1,216,1,17,39,5,0
0.5,51,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.73,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,1
0.35,57,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,3,0,1
0.77,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,55,1,2,176,0,0
0.84,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,3,6,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,123,1,6,23,2,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,182,1,36,22,3,0
1.0,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,58,0,0,4,0,0
0.73,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,39,1,9,34,1,0
0.83,63,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.78,37,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,302,0,1,10,3,0
0.87,35,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,6,1,6,11,1,1
0.63,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,78,0,1,20,0,0
0.76,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.87,39,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,177,9,45,19,6,0
1.0,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,141,1,8,31,17,0
0.89,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,32,1,13,6,0,0
0.55,47,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,74,0,0,17,9,0
1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,84,2,1,31,0,0
0.75,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,232,1,3,12,0,0
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,91,1,20,10,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,20,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0
0.4,48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,11,1,5,3,1,1
0.83,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,5,0,1
0.44,74,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,62,0,1,87,1,0
0.85,60,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.5,38,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,415,2,0,6,2,0
0.82,26,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,131,2,0,24,0,1
0.84,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,20,0,0,1,0,1
0.85,55,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.4,70,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.69,38,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.55,45,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.85,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,731,0,31,22,1,0
1.0,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,9,0,0
0.89,39,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2,2,0,2,2,1
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,284,3,0,16,14,0
0.67,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.82,56,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,1,1
0.53,80,1,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,189,4,42,55,2,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,127,2,6,17,7,0
0.43,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,48,1,28,16,0,1
0.57,59,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,114,0,0,34,0,0
0.87,39,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.18,58,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,8,2,4,4,0,1
0.68,41,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,14,0,1
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,374,1,4,27,5,0
0.79,80,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,20,1,2,1,1,5,0,1
1.0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,60,1,0,1,0,0
0.87,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,8,0,1
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,170,1,6,5,1,0
0.85,49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,2,4,0,1
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,307,2,84,4,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,3,6,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,93,0,0
0.9,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,111,1,3,2,0,0
0.86,24,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,673,1,0,2,17,0
1.0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,32,0,0,1,0,0
0.63,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,129,0,5,10,0,0
0.69,41,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,0,15,1,0,2,0,0
1.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,428,3,0,5,6,0
1.0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,17,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,0,0,8,0,0
0.86,25,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,91,2,2,41,0,0
0.82,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,57,0,0,28,0,0
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,89,0,2,10,0,0
0.64,39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,1,0,2,0,1
0.91,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0,5,0,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,282,1,38,30,2,0
0.57,38,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.89,30,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,115,0,25,8,2,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,38,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,91,1,0,29,0,0
1.0,24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,103,2,3,21,0,0
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0.27,45,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,7,0,1
1.0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,487,8,0,10,4,0
0.44,56,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,25,0,172,0,0,4,1,1
0.86,32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,64,1,11,73,1,1
0.46,53,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,1,0,1
0.87,26,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,248,3,9,13,3,0
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,22,0,0
0.82,47,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,4,0,3,0,1
1.0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,1,9,5,0,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,73,3,1,46,7,0
1.0,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,436,1,7,27,4,0
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,51,1,1,8,0,0
0.78,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,3,2,22,0,1
0.62,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,352,2,2,8,6,0
0.85,57,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.93,64,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,167,4,9,10,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.86,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,712,2,52,129,8,0
1.0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,127,0,0,6,0,0
0.84,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,3,6,0,1
0.92,35,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,376,15,17,7,5,0
0.88,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,0,0,0,1
0.82,31,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,72,0,5,5,0,0
0.88,28,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,1,0,4,0,0
0.92,35,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,92,3,3,6,3,0
0.44,67,1,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,74,4,14,14,1,0
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,425,2,2,38,11,0
0.84,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,24,1,4,6,0,1
1.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,69,0,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,4,27,1,0
0.82,22,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,60,0,2,3,0,0
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,102,1,1,31,5,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,72,1,2,15,0,0
0.49,59,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.74,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,18,0,1
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,2,5,5,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.8,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,5,0,1
0.81,28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
1.0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,32,0,1,24,0,0
0.9,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,196,2,2,4,4,0
0.31,75,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,25,0,6,1,1,2,0,1
1.0,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,49,1,1,33,2,0
0.61,46,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,25,0,1,1,1,1,0,1
0.52,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,9,2,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,80,2,3,1,1,0
0.88,28,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,100,2,1,6,4,0
0.72,43,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,1,2,79,1,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,59,2,0,22,4,0
0.62,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,1
0.53,39,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,6,1,2,4,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,28,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,204,1,0,7,1,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,97,0,2,6,2,0
0.69,24,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,136,2,0,16,6,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.93,38,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,354,10,1,21,4,0
1.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,33,1,1,2,1,0
0.74,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,137,0,20,17,2,0
1.0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.85,35,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.88,41,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,131,2,0,24,0,1
0.78,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0
0.55,47,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.36,60,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,25,0,7,1,0,0,0,1
0.58,37,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,1,1,3,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,164,4,1,9,16,0
0.39,57,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,25,0,8,1,0,4,0,1
